IP,RTT1,RTT2,RTT3,Domain Name,Date,Hop Number,Run Number,AS Number,AS Name
136.142.2.162,89.308ms,52.082ms,53.344ms,www.payments.pitt.edu,24-Nov,15,5,4130,"UPITT-AS, US"
136.142.253.237,61.122ms,52.297ms,59.271ms,www.payments.pitt.edu,24-Nov,16,5,4130,"UPITT-AS, US"
136.142.156.140,53.600ms,60.580ms,63.566ms,www.payments.pitt.edu,24-Nov,17,5,4130,"UPITT-AS, US"
172.31.160.1,0.148ms,0.122ms,0.105ms,www.payments.pitt.edu,24-Nov,1,6,NA,NA
172.20.10.1,2.595ms,2.367ms,2.931ms,www.payments.pitt.edu,24-Nov,2,6,NA,NA
107.243.2.7,39.335ms,*,73.792ms,www.payments.pitt.edu,24-Nov,3,6,NA,NA
89.149.136.181,*,382.876ms,85.605ms,www.payments.pitt.edu,24-Nov,10,6,,
208.116.221.142,49.738ms,58.697ms,61.155ms,www.payments.pitt.edu,24-Nov,11,6,3257,"GTT-BACKBONE GTT, US"
64.58.254.229,91.116ms,61.127ms,65.195ms,www.payments.pitt.edu,24-Nov,12,6,33154,"DQECOM, US"
64.58.254.49,49.123ms,49.564ms,66.205ms,www.payments.pitt.edu,24-Nov,13,6,33154,"DQECOM, US"
208.103.114.14,53.032ms,54.150ms,52.076ms,www.payments.pitt.edu,24-Nov,14,6,33154,"DQECOM, US"
136.142.2.162,50.840ms,54.501ms,51.760ms,www.payments.pitt.edu,24-Nov,15,6,4130,"UPITT-AS, US"
136.142.253.237,54.609ms,53.045ms,51.991ms,www.payments.pitt.edu,24-Nov,16,6,4130,"UPITT-AS, US"
136.142.156.140,61.560ms,62.970ms,53.291ms,www.payments.pitt.edu,24-Nov,17,6,4130,"UPITT-AS, US"
172.31.160.1,0.336ms,0.124ms,0.104ms,www.wikipedia.org,24-Nov,1,1,NA,NA
172.20.10.1,2.307ms,2.210ms,2.145ms,www.wikipedia.org,24-Nov,2,1,NA,NA
107.243.2.135,43.192ms,*,38.935ms,www.wikipedia.org,24-Nov,3,1,NA,NA
172.31.160.1,0.195ms,0.107ms,0.307ms,www.wikipedia.org,24-Nov,1,2,NA,NA
172.20.10.1,7.981ms,7.166ms,2.804ms,www.wikipedia.org,24-Nov,2,2,NA,NA
107.243.2.135,44.675ms,*,47.662ms,www.wikipedia.org,24-Nov,3,2,NA,NA
172.31.160.1,0.166ms,0.121ms,0.174ms,www.wikipedia.org,24-Nov,1,3,NA,NA
172.20.10.1,3.779ms,15.005ms,9.689ms,www.wikipedia.org,24-Nov,2,3,NA,NA
107.243.2.7,33.210ms,*,39.720ms,www.wikipedia.org,24-Nov,3,3,NA,NA
172.31.160.1,0.159ms,0.099ms,0.089ms,www.wikipedia.org,24-Nov,1,4,NA,NA
172.20.10.1,9.840ms,5.292ms,4.085ms,www.wikipedia.org,24-Nov,2,4,NA,NA
107.243.2.7,31.512ms,*,41.337ms,www.wikipedia.org,24-Nov,3,4,NA,NA
172.31.160.1,0.160ms,0.119ms,0.093ms,www.wikipedia.org,24-Nov,1,5,NA,NA
172.20.10.1,4.580ms,11.124ms,2.719ms,www.wikipedia.org,24-Nov,2,5,NA,NA
107.243.2.135,35.636ms,*,28.185ms,www.wikipedia.org,24-Nov,3,5,NA,NA
172.31.160.1,0.219ms,0.164ms,0.156ms,www.wikipedia.org,24-Nov,1,6,NA,NA
172.20.10.1,4.587ms,4.079ms,4.420ms,www.wikipedia.org,24-Nov,2,6,NA,NA
